# 拼音词库，参考 https://gitee.com/hades001/rime-aurora-pinyin.git
# 以下为《通用规范汉字表》中的汉字
钓	diao	72
制	zhi	1850
知	zhi	2483
迭	die	30
氛	fen	28
垂	chui	88
牧	mu	84
物	wu	2433
乖	guai	19
刮	gua	105
秆	gan	12
和	he	9546
和	hu	30
和	huo	38
季	ji	238
委	wei	668
秉	bing	30
佳	jia	21
侍	shi	20
岳	yue	30
供	gong	316
使	shi	2283
例	li	369
侠	xia	30
侥	jiao	30
侥	yao	30
版	ban	73
侄	zhi	30
侦	zhen	51
侣	lv	30
侧	zhai	30
侧	ze	30
侧	ce	125
凭	ping	134
侨	qiao	30
佩	pei	29
货	huo	328
侈	chi	30
依	yi	341
卑	bei	13
的	de	75596
的	di	241
迫	pai	30
迫	po	306
质	zhi	902
欣	xin	63
征	zheng	192
往	wang	1283
爬	pa	330
彼	bi	60
径	jing	69
所	suo	2517
舍	she	103
金	jin	568
刹	cha	14
刹	sha	17
命	ming	2703
肴	yao	30
斧	fu	43
爸	ba	975
采	cai	420
觅	mi	30
受	shou	1082
乳	ru	24
贪	tan	30
念	nian	447
贫	pin	115
忿	fen	97
肤	fu	87
肺	fei	52
肢	zhi	38
肿	zhong	24
胀	zhang	54
朋	peng	514
股	gu	220
肮	ang	30
肪	fang	10
肥	fei	162
服	fu	951
胁	xie	54
周	zhou	396
昏	hun	127
鱼	yu	538
兔	tu	100
狐	hu	18
忽	hu	535
狗	gou	216
狞	ning	30
备	bei	784
饰	shi	40
饱	bao	85
饲	si	36
变	bian	1669
京	jing	30
享	xiang	76
庞	pang	19
店	dian	300
夜	ye	799
庙	miao	55
府	fu	432
底	de	30
底	di	788
疟	nue	30
疟	yao	30
疙	ge	17
疚	jiu	30
剂	ji	79
卒	zu	30
卒	cu	30
郊	jiao	26
庚	geng	30
废	fei	111
净	jing	152
盲	mang	41
放	fang	2045
刻	ke	653
育	yu	547
氓	mang	25
氓	meng	30
闸	zha	20
闹	nao	254
郑	zheng	16
券	quan	30
券	xuan	30
卷	juan	129
单	dan	603
单	chan	30
单	shan	30
炬	ju	30
炒	chao	22
炊	chui	12
炕	kang	87
炎	yan	50
炉	lu	177
沫	mo	43
浅	jian	30
浅	qian	82
法	fa	2220
泄	xie	10
沽	gu	30
河	he	958
沾	zhan	38
泪	lei	233
沮	ju	30
油	you	822
泊	bo	11
泊	po	26
沿	yan	231
泡	pao	77
注	zhu	446
泣	qi	14
泞	ning	30
泻	xie	30
泌	bi	30
泌	mi	23
泳	yong	17
泥	ni	308
沸	fei	25
沼	zhao	30
波	bo	114
泼	po	75
泽	ze	30
治	zhi	1165
怔	zheng	15
怯	qie	18
怖	bu	32
性	xing	1385
怕	pa	866
怜	lian	111
怪	guai	410
怡	yi	30
学	xue	5640
宝	bao	270
宗	zong	67
定	ding	2655
宠	chong	30
宜	yi	96
审	shen	58
宙	zhou	130
官	guan	276
空	kong	926
帘	lian	53
宛	wan	30
实	shi	2929
试	shi	374
郎	lang	30
诗	shi	152
肩	jian	208
房	fang	708
诚	cheng	51
衬	chen	46
衫	shan	26
视	shi	421
祈	qi	30
话	hua	2364
诞	dan	40
诡	gui	15
询	xun	24
该	gai	1057
详	xiang	95
建	jian	1732
肃	su	144
录	lu	143
隶	li	73
帚	zhou	13
屉	ti	17
居	ju	184
届	jie	70
刷	shua	140
屈	qu	64
弧	hu	30
弥	mi	25
弦	xian	16
承	cheng	163
孟	meng	30
陋	lou	9
陌	mo	32
孤	gu	54
陕	shan	30
降	jiang	243
降	xiang	75
函	han	30
限	xian	240
妹	mei	258
姑	gu	457
姐	jie	417
姓	xing	232
妮	ni	30
始	shi	606
姆	mu	16
迢	tiao	30
驾	jia	59
叁	san	30
参	shen	25
参	can	525
参	cen	30
艰	jian	211
线	xian	1280
练	lian	245
组	zu	962
绅	shen	16
细	xi	840
驶	shi	123
织	zhi	733
驹	ju	10
终	zhong	385
驻	zhu	33
绊	ban	30
驼	tuo	141
绍	shao	156
绎	yi	30
经	jing	4196
贯	guan	91
契	qi	30
契	xie	30
贰	er	30
奏	zou	26
春	chun	327
帮	bang	598
玷	dian	30
珍	zhen	100
玲	ling	10
珊	shan	16
玻	bo	213
毒	du	188
型	xing	317
拭	shi	13
挂	gua	270
封	feng	400
持	chi	601
拷	kao	30
拱	gong	78
项	xiang	236
垮	kua	38
挎	kua	16
城	cheng	592
挟	xie	11
挠	nao	30
政	zheng	1844
赴	fu	12
赵	zhao	30
挡	dang	83
拽	zhuai	30
拽	ye	30
哉	zai	30
挺	ting	239
括	gua	30
括	kuo	171
垢	gou	30
拴	shuan	42
拾	shi	99
挑	tiao	207
垛	duo	30
指	zhi	1317
垫	dian	24
挣	zheng	76
挤	ji	172
拼	pin	147
挖	wa	136
按	an	439
挥	hui	365
挪	nuo	30
拯	zheng	30
某	mou	294
甚	shen	3697
荆	jing	30
茸	rong	20
革	ge	2148
革	ji	30
茬	cha	30
荐	jian	19
巷	hang	30
巷	xiang	37
带	dai	1348
草	cao	613
茧	jian	14
茵	yin	30
茶	cha	194
荒	huang	54
茫	mang	112
荡	dang	67
荣	rong	147
荤	hun	30
荧	ying	30
故	gu	416
胡	hu	215
荫	yin	30
荔	li	28
南	nan	749
药	yao	407
标	biao	343
栈	zhan	30
柑	gan	30
枯	ku	34
柄	bing	29
栋	dong	30
相	xiang	1349
查	zha	30
查	cha	470
柏	bai	19
柏	bo	30
栅	zha	30
栅	shan	30
柳	liu	49
柱	zhu	68
柿	shi	30
栏	lan	44
柠	ning	30
树	shu	856
勃	bo	54
要	yao	9101
柬	jian	30
咸	xian	10
威	wei	188
歪	wai	64
研	yan	1242
砖	zhuan	44
厘	li	69
厚	hou	202
砌	qi	24
砂	sha	33
泵	beng	14
砚	yan	30
砍	kan	81
面	mian	4527
耐	nai	221
耍	shua	29
牵	qian	97
鸥	ou	13
残	can	108
殃	yang	30
轴	zhou	39
轻	qing	859
鸦	ya	58
皆	jie	10
韭	jiu	30
背	bei	505
战	zhan	2420
点	dian	3816
虐	nue	30
临	lin	220
