#	单字
妇	ftm
浮	ftn
涪	ftna
滏	ftnb
副	fto
斧	ftoa
福	ftp
敷	ftpa
凫	ftpb
弗	ftpc
祓	ftpd
袱	ftpe
阜	ftq
釜	ftqa
附	ftqb
砩	ftqc
咐	ftr
讣	ftra
呋	ftrb
馥	ftrc
缚	fts
绂	ftsa
匐	ftsb
幅	ftsc
幞	ftsd
绋	ftse
罘	ftsf
肤	ftt
腐	ftta
服	fttb
脯	fttc
腑	fttd
腹	ftte
孚	ftu
夫	ftv
甫	ftva
氟	ftw
黻	ftx
黼	ftxa
郛	fty
仿	fua
彷	fub
舫	fuc
芳	fue
枋	fuea
房	fuh
鲂	fuj
妨	fum
放	fup
防	fuq
坊	fuqa
钫	fuqb
访	fur
方	fus
纺	fusa
肪	fut
邡	fuy
佛	fw
搞	gad
杲	gae
糕	gaea
槔	gaeb
篙	gaec
槁	gaed
稿	gaee
藁	gaef
皋	gak
羔	gal
睾	gam
高	gaq
膏	gaqa
锆	gaqb
镐	gaqc
告	gar
诰	gara
缟	gas
郜	gay
过	gbb
掴	gbd
椁	gbe
果	gbi
蝈	gbj
蜾	gbja
猓	gbl
聒	gbm
涡	gbn
锅	gbq
埚	gbqa
崞	gbqb
呙	gbr
帼	gbs
裹	gbu
馘	gbua
虢	gbx
郭	gby
国	gbya
给	gd
个	gea
合	geaa
仡	geab
各	geb
舸	gec
盖	geca
搁	ged
搿	geda
格	gee
葛	geea
鸽	gef
鬲	geg
阁	geh
蛤	gej
虼	geja
戈	geo
割	geoa
疙	gep
隔	geq
圪	geqa
塥	geqb
镉	geqc
铬	geqd
硌	geqe
屹	geqf
咯	ger
嗝	gera
哿	gerb
纥	ges
袼	gesa
革	get
胳	geta
膈	getb
颌	geu
哥	gev
歌	gew
骼	gez
挂	ggd
括	ggda
栝	gge
鸹	ggf
寡	ggh
刮	ggo
剐	ggoa
诖	ggr
呱	ggra
褂	ggs
胍	ggt
瓜	ggu
卦	ggx
拐	ghd
掴	ghda
怪	ghk
乖	ghv
供	gia
拱	gid
宫	gih
工	gii
功	giia
巩	giib
贡	gij
龚	gija
蚣	gijb
恭	gik
公	gin
共	gina
汞	ginb
弓	gip
攻	gipa
珙	giq
红	gis
肱	git
觥	gita
躬	giz
赶	gjb
尴	gjba
赣	gjbb
擀	gjd
杆	gje
竿	gjea
柑	gjeb
苷	gjec
